Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
4-Hydroxyphenyl-beta-glucopyranoside,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1.6632655,1.813041046,11.24
Estriol,C[C@]12CC[C@@H]3C4=C(C=C(O)C=C4)CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1.6784523,10.70227399,12.45
L-phenylalanyl-L-proline,N[C@@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)O,1.6910281,8.276800811,11.53
Estrone sulfate,C[C@]12CC[C@@H]3C4=C(C=C(OS(=O)(=O)O)C=C4)CC[C@H]3[C@@H]1CCC2=O,1.7080382,15.31621814,13.39
(N-acetylneuraminosyl(a2-6)lactosamine),CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,1.7330793,0.417395728,17.2
Delta-Tocopherol,CC1=CC(O)=CC2=C1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,1.750594,9.332983941,18.38
17a-Estradiol,C[C@]12CC[C@@H]3C4=C(C=C(O)C=C4)CC[C@H]3[C@@H]1CC[C@H]2O,1.7650362,19.11019385,11.74
Homo-L-arginine,N=C(N)NCCCC[C@H](N)C(=O)O,1.7787952,0.192850223,10.74
L-Arginine,N=C(N)NCCC[C@H](N)C(=O)O,1.7808142,0.201763771,8.22
Fructose 1-phosphate,O=P(O)(O)OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.8413877,0.391845452,9.46
Disialyllactose,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](O[C@H](CO)[C@@H](O)[C@@H]2O[C@@](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)[C@@H]3O)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)(C(=O)O)C[C@@H]1O,1.8772398,0.720832311,19.55
Glucosamine 6-phosphate,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@@H]1O,1.911395,0.445850659,10.26
Enterodiol,OC[C@H](CC1=CC(O)=CC=C1)[C@H](CO)CC1=CC(O)=CC=C1,1.911694,7.366324216,13.91
18:1 Cholesteryl ester,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,1.9155233,2.080537379,31.92
